SampleID;Genotype;Group;treatment;SliceID;mfPerimeter;mfArea;complexity;mean complexity;BoutonID;Animal
20201001_1;WT;WT_ctrl;ctrl;20201001_1_010_s3;7.356;2.815;2.61314387211368;;20201001_1_010;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_010_s4;8.155;2.932;2.78137789904502;;20201001_1_010;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_010_s5;7.536;2.766;2.72451193058568;;20201001_1_010;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_010_s7;6.471;2.498;2.59047237790232;;20201001_1_010;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_011_s1;10.475;4.062;2.57877892663712;2.37751505099451;20201001_1_011;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_011_s2;10.939;4.68;2.33739316239316;;20201001_1_011;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_011_s3;11.826;4.88;2.42336065573771;;20201001_1_011;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_011_s4;12.055;5.046;2.38902100673801;;20201001_1_011;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_011_s5;12.209;5.468;2.2328090709583;;20201001_1_011;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_011_s7;12.917;5.607;2.30372748350276;;20201001_1_011;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_012_s2;11.301;4.543;2.48756328417345;2.50823434396792;20201001_1_012;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_012_s3;11.222;4.325;2.59468208092486;;20201001_1_012;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_012_s4;10.17;4.023;2.52796420581656;;20201001_1_012;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_012_s5;11.152;4.397;2.53627473277234;;20201001_1_012;1
20201001_1;WT;WT_ctrl;ctrl;20201001_1_012_s7;8.925;3.727;2.3946874161524;;20201001_1_012;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_001_s0;20.58;6.618;3.10970081595648;2.76728425377712;20201001_2_001;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_001_s1;19.285;6.956;2.77242668200115;;20201001_2_001;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_001_s2;19.349;7.392;2.61755952380952;;20201001_2_001;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_001_s3;19.294;7.509;2.56944999334132;;20201001_2_001;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_002_s0;10.795;4.277;2.52396539630582;3.11366181188773;20201001_2_002;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_002_s1;10.037;3.896;2.57623203285421;;20201001_2_002;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_002_s2;10.292;2.989;3.44329207092673;;20201001_2_002;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_002_s3;11.182;2.859;3.91115774746415;;20201001_2_002;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_003_s0;11.354;4.819;2.35609047520232;2.47528722114034;20201001_2_003;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_003_s1;11.172;4.49;2.48819599109131;;20201001_2_003;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_003_s2;10.402;4.127;2.5204749212503;;20201001_2_003;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_003_s3;10.63;4.191;2.53638749701742;;20201001_2_003;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_005_s0;13.764;5.583;2.46534121440086;2.45507125261334;20201001_2_005;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_005_s1;14.062;5.731;2.45367300645612;;20201001_2_005;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_005_s2;14.183;5.727;2.47651475467086;;20201001_2_005;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_005_s3;14.163;5.841;2.42475603492553;;20201001_2_005;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_006_s0;10.546;4.145;2.54427020506635;2.54124552070498;20201001_2_006;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_006_s1;11.53;4.805;2.39958376690947;;20201001_2_006;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_006_s2;13.133;4.959;2.6483161927808;;20201001_2_006;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_006_s3;13.816;5.37;2.57281191806332;;20201001_2_006;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_007_s0;12.679;5.928;2.1388326585695;2.14778477798908;20201001_2_007;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_007_s1;15.683;6.715;2.3355174981385;;20201001_2_007;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_007_s2;8.395;4.141;2.02728809466312;;20201001_2_007;1
20201001_2;WT;WT_fsk;fsk;20201001_2a_007_s3;8.498;4.067;2.0895008605852;;20201001_2_007;1
