Animal;Genotype;Treatment;Bouton;Active.zone.area;BoutonID;Condition;SampleID;Gaussian;Gamma
1;WT;FSK;1;40302.1;1 Forskolin 1;WT + FSK;1_WT_FSK;-0.420733977816339;-0.841042724415696
1;WT;FSK;1;23226.3;1 Forskolin 1;WT + FSK;1_WT_FSK;-0.654256512835825;-1.66093661476463
1;WT;FSK;1;57723.8;1 Forskolin 1;WT + FSK;1_WT_FSK;-0.182481038080047;-0.22930873848376
1;WT;FSK;1;44717.9;1 Forskolin 1;WT + FSK;1_WT_FSK;-0.360345075970508;-0.670960030158964
1;WT;FSK;1;28576.6;1 Forskolin 1;WT + FSK;1_WT_FSK;-0.581087723138431;-1.3675200720164
1;WT;FSK;1;35951.3;1 Forskolin 1;WT + FSK;1_WT_FSK;-0.48023396290417;-1.02188394471846
1;WT;FSK;1;31933.3;1 Forskolin 1;WT + FSK;1_WT_FSK;-0.535182694191037;-1.20316960385011
1;WT;FSK;2;305120;1 Forskolin 2;WT + FSK;1_WT_FSK;2.67736886183197;2.57232697897307
1;WT;FSK;2;39526.9;1 Forskolin 2;WT + FSK;1_WT_FSK;-0.954787405849997;-1.50462800195173
1;WT;FSK;2;27621.5;1 Forskolin 2;WT + FSK;1_WT_FSK;-1.11760139924539;-1.9890988335782
1;WT;FSK;3;182546;1 Forskolin 3;WT + FSK;1_WT_FSK;1.00596889572266;1.2679969307903
1;WT;FSK;3;114191;1 Forskolin 3;WT + FSK;1_WT_FSK;0.0711703573668063;0.267667585586167
1;WT;FSK;3;98902.5;1 Forskolin 3;WT + FSK;1_WT_FSK;-0.137909701936149;-0.00802776201576604
1;WT;FSK;3;83498;1 Forskolin 3;WT + FSK;1_WT_FSK;-0.348576135761075;-0.316539911746101
1;WT;FSK;4;125440;1 Forskolin 4;WT + FSK;1_WT_FSK;0.636233112549104;1.10959842047208
1;WT;FSK;4;58516.3;1 Forskolin 4;WT + FSK;1_WT_FSK;-0.278991478795579;-0.403882150378206
1;WT;FSK;4;59125.2;1 Forskolin 4;WT + FSK;1_WT_FSK;-0.270664380119478;-0.385786375660592
1;WT;FSK;4;27465.4;1 Forskolin 4;WT + FSK;1_WT_FSK;-0.703632484349436;-1.58396987344592
1;WT;FSK;5;111288;1 Forskolin 5;WT + FSK;1_WT_FSK;0.396185702271768;0.745649587146224
1;WT;FSK;5;18214.9;1 Forskolin 5;WT + FSK;1_WT_FSK;-0.876648733252312;-2.18503597675501
1;WT;FSK;6;137253;1 Forskolin 6;WT + FSK;1_WT_FSK;0.796117474821017;1.3153275709416
1;WT;FSK;6;97844.7;1 Forskolin 6;WT + FSK;1_WT_FSK;0.257183655216174;0.572150920966993
1;WT;FSK;6;69896.8;1 Forskolin 6;WT + FSK;1_WT_FSK;-0.125021831874978;-0.0853321467194111
1;WT;FSK;6;14506.6;1 Forskolin 6;WT + FSK;1_WT_FSK;-0.882518401244279;-2.40516113821543
1;WT;FSK;6;30929.6;1 Forskolin 6;WT + FSK;1_WT_FSK;-0.657923325603605;-1.41578566674688
2;WT;FSK;1;147483;2 Forskolin 1;WT + FSK;2_WT_FSK;-0.190432566247653;0.160398858326007
2;WT;FSK;1;154080;2 Forskolin 1;WT + FSK;2_WT_FSK;-0.100214353131808;0.245407624260865
2;WT;FSK;1;191352;2 Forskolin 1;WT + FSK;2_WT_FSK;0.409504191548163;0.685351013109079
2;WT;FSK;1;126780;2 Forskolin 1;WT + FSK;2_WT_FSK;-0.473559391492058;-0.124133436752815
2;WT;FSK;1;251458;2 Forskolin 1;WT + FSK;2_WT_FSK;1.23149235549253;1.28960206308672
2;WT;FSK;1;64642;2 Forskolin 1;WT + FSK;2_WT_FSK;-1.32333646085577;-1.23869449860577
2;WT;FSK;2;569271;2 Forskolin 2;WT + FSK;2_WT_FSK;3.58111252672575;1.95358042922288
2;WT;FSK;2;419655;2 Forskolin 2;WT + FSK;2_WT_FSK;1.53501760880241;1.21348335491432
2;WT;FSK;2;329440;2 Forskolin 2;WT + FSK;2_WT_FSK;0.301269526909741;0.681437918344366
2;WT;FSK;3;95802.7;2 Forskolin 3;WT + FSK;2_WT_FSK;-0.289694416765491;0.072455902678744
2;WT;FSK;3;22562;2 Forskolin 3;WT + FSK;2_WT_FSK;-1.2913080413454;-2.14892315679297
2;WT;FSK;3;88898.9;2 Forskolin 3;WT + FSK;2_WT_FSK;-0.384108316979099;-0.0678594171902128
2;WT;FSK;3;97566.6;2 Forskolin 3;WT + FSK;2_WT_FSK;-0.265571951081841;0.107212173531855
2;WT;FSK;4;334079;2 Forskolin 4;WT + FSK;2_WT_FSK;1.97130583196547;1.74573949289727
2;WT;FSK;4;96902.2;2 Forskolin 4;WT + FSK;2_WT_FSK;-1.27223927771077;-0.753381195294415
2;WT;FSK;5;112518;2 Forskolin 5;WT + FSK;2_WT_FSK;-0.146609353722279;0.259118392571126
2;WT;FSK;5;61601.9;2 Forskolin 5;WT + FSK;2_WT_FSK;-0.842919731292034;-0.814049494709511
2;WT;FSK;5;65704.2;2 Forskolin 5;WT + FSK;2_WT_FSK;-0.786818143348252;-0.708685695239335
2;WT;FSK;5;108379;2 Forskolin 5;WT + FSK;2_WT_FSK;-0.203212837743271;0.186062573893812
3;WT;FSK;1;211491;3 Forskolin 1;WT + FSK;3_WT_FSK;0.925609592662203;1.11866379245075
3;WT;FSK;1;108260;3 Forskolin 1;WT + FSK;3_WT_FSK;-0.48614065110948;-0.232159769119034
3;WT;FSK;2;147811;3 Forskolin 2;WT + FSK;3_WT_FSK;0.370807700717406;0.704487378163618
3;WT;FSK;2;57842.5;3 Forskolin 2;WT + FSK;3_WT_FSK;-0.859569335316079;-1.00023629723544
3;WT;FSK;3;113411;3 Forskolin 3;WT + FSK;3_WT_FSK;0.0300285169043953;0.336650777089794
3;WT;FSK;3;45434.7;3 Forskolin 3;WT + FSK;3_WT_FSK;-0.899591055662926;-1.23850175194444
3;WT;FSK;4;266450;3 Forskolin 4;WT + FSK;3_WT_FSK;1.51850942612473;1.49288619545631
3;WT;FSK;4;110591;3 Forskolin 4;WT + FSK;3_WT_FSK;-0.612962527493955;-0.319478926354533
4;TKO;Control;1;142322;4 Control 1;TKO;4_TKO_Control;-2.12478868966356;-0.902768095440057
4;TKO;Control;1;194284;4 Control 1;TKO;4_TKO_Control;-1.41417495767545;-0.383110669172205
4;TKO;Control;1;721950;4 Control 1;TKO;4_TKO_Control;5.80199658120366;2.51867837359721
4;TKO;Control;2;412444;4 Control 2;TKO;4_TKO_Control;1.54425654698528;1.06521779348074
4;TKO;Control;2;329896;4 Control 2;TKO;4_TKO_Control;0.415359615609384;0.583946428801668
4;TKO;Control;2;341768;4 Control 2;TKO;4_TKO_Control;0.577716842547585;0.65765614674483
4;TKO;Control;2;284845;4 Control 2;TKO;4_TKO_Control;-0.200741751539613;0.287206367048797
4;TKO;Control;3;224754;4 Control 3;TKO;4_TKO_Control;0.341856969241564;0.586819429982207
4;TKO;Control;3;168510;4 Control 3;TKO;4_TKO_Control;-0.427315863635135;0.0180159885528598
4;TKO;Control;3;191997;4 Control 3;TKO;4_TKO_Control;-0.106116049863443;0.268888614715071
4;TKO;Control;3;194713;4 Control 3;TKO;4_TKO_Control;-0.0689730050214491;0.296553595498326
4;TKO;Control;3;96664.5;4 Control 3;TKO;4_TKO_Control;-1.40984923189562;-0.940134859681059
4;TKO;Control;4;181507;4 Control 4;TKO;4_TKO_Control;-0.691179629347602;-0.0773223597668131
4;TKO;Control;4;164951;4 Control 4;TKO;4_TKO_Control;-0.917593565431569;-0.251558602642283
4;TKO;Control;4;322377;4 Control 4;TKO;4_TKO_Control;1.23530811987615;1.09526951030177
5;TKO;Control;1;153128;5 Control 1;TKO;5_TKO_Control;-0.49195519081057;-0.177275873867841
5;TKO;Control;1;115939;5 Control 1;TKO;5_TKO_Control;-1.00053865716879;-0.66123645782066
5;TKO;Control;1;400783;5 Control 1;TKO;5_TKO_Control;2.89488603538385;1.89296099238336
5;TKO;Control;1;309273;5 Control 1;TKO;5_TKO_Control;1.64342799654332;1.26417763341026
5;TKO;Control;1;64749;5 Control 1;TKO;5_TKO_Control;-1.70059479320033;-1.55195362327067
5;TKO;Control;2;158215;5 Control 2;TKO;5_TKO_Control;-0.0415655985557092;0.162840644816037
5;TKO;Control;2;273789;5 Control 2;TKO;5_TKO_Control;1.53898309973907;1.32710573574074
5;TKO;Control;2;188133;5 Control 2;TKO;5_TKO_Control;0.367582271688319;0.50691556853097
5;TKO;Control;2;41465.4;5 Control 2;TKO;5_TKO_Control;-1.63819138209211;-1.95268262242998
5;TKO;Control;3;321000;5 Control 3;TKO;5_TKO_Control;2.11047919065924;1.6418904154232
5;TKO;Control;3;140360;5 Control 3;TKO;5_TKO_Control;-0.359888858036566;-0.114451393649323
5;TKO;Control;3;71175.6;5 Control 3;TKO;5_TKO_Control;-1.30602997422451;-1.23899213874526
5;TKO;Control;4;215688;5 Control 4;TKO;5_TKO_Control;0.980509008399499;1.03490073111238
5;TKO;Control;4;123477;5 Control 4;TKO;5_TKO_Control;-0.280535655785007;-0.0963247416718657
5;TKO;Control;4;58690;5 Control 4;TKO;5_TKO_Control;-1.16653950194785;-1.32029531635368
5;TKO;Control;5;194830;5 Control 5;TKO;5_TKO_Control;0.790580116556469;0.90992180766241
5;TKO;Control;5;144093;5 Control 5;TKO;5_TKO_Control;0.0967190465460661;0.283904493995409
5;TKO;Control;5;123878;5 Control 5;TKO;5_TKO_Control;-0.179734065192119;-0.00647250209542717
5;TKO;Control;5;106895;5 Control 5;TKO;5_TKO_Control;-0.411987500594028;-0.276162427235515
5;TKO;Control;5;60821.1;5 Control 5;TKO;5_TKO_Control;-1.04207768238547;-1.20018691511914
5;TKO;Control;6;81950.9;5 Control 6;TKO;5_TKO_Control;-0.936050402846983;-0.872675598906912
5;TKO;Control;6;139873;5 Control 6;TKO;5_TKO_Control;-0.143928474407195;0.0581862298853565
5;TKO;Control;6;214068;5 Control 6;TKO;5_TKO_Control;0.870735815744408;0.925352910660341
5;TKO;Control;7;45435.5;5 Control 7;TKO;5_TKO_Control;-1.09027630539614;-1.48481551075169
5;TKO;Control;7;210909;5 Control 7;TKO;5_TKO_Control;1.17268011237327;1.30801613127795
5;TKO;Control;7;29713.2;5 Control 7;TKO;5_TKO_Control;-1.30528885838556;-2.05615521273193
6;TKO;Control;1;144732;6 Control 1;TKO;6_TKO_Control;0.195154289476877;0.346096926396044
6;TKO;Control;1;145027;6 Control 1;TKO;6_TKO_Control;0.199188603993957;0.35015208068439
6;TKO;Control;2;129318;6 Control 2;TKO;6_TKO_Control;0.530518584103374;0.866716554171065
6;TKO;Control;2;73764.6;6 Control 2;TKO;6_TKO_Control;-0.22920985011063;-0.24203704607158
6;TKO;Control;2;44721.3;6 Control 2;TKO;6_TKO_Control;-0.626395635920455;-1.07453575579547
6;TKO;Control;2;38545.8;6 Control 2;TKO;6_TKO_Control;-0.710849565751727;-1.29864170970436
6;TKO;Control;2;77822.6;6 Control 2;TKO;6_TKO_Control;-0.173714093126531;-0.144979659773677
