FileName;AZdist;BoutonID;Genotype;Treatment;Animal;Date;SampleID;Group
20190924_4_007-tko-fsk-PairD;445.786326241665;20190924_4_007;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_007-tko-fsk-PairD;955.991407741456;20190924_4_007;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_007-tko-fsk-PairD;270.734736040077;20190924_4_007;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_007-tko-fsk-PairD;781.93330002772;20190924_4_007;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_007-tko-fsk-PairD;511.209860767816;20190924_4_007;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_008-tko-fsk-PairD;548.00092115616;20190924_4_008;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_008-tko-fsk-PairD;303.894533834421;20190924_4_008;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_008-tko-fsk-PairD;426.269272705517;20190924_4_008;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_008-tko-fsk-PairD;490.622852952489;20190924_4_008;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_008-tko-fsk-PairD;389.819027668083;20190924_4_008;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_008-tko-fsk-PairD;165.66744773615;20190924_4_008;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_009-tko-fsk-PairD;402.416830303219;20190924_4_009;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_009-tko-fsk-PairD;283.620265156159;20190924_4_009;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190924_4_009-tko-fsk-PairD;241.939773157371;20190924_4_009;TKO;FSK;4;20190924;20190924_4;TKO FSK
20190927_3_001-tko-ctr-PairD;472.138082857642;20190927_3_001;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_001-tko-ctr-PairD;420.374668824324;20190927_3_001;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_001-tko-ctr-PairD;309.08265290354;20190927_3_001;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_001-tko-ctr-PairD;463.693019141641;20190927_3_001;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_001-tko-ctr-PairD;129.128483740382;20190927_3_001;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_001-tko-ctr-PairD;215.635070109201;20190927_3_001;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_001-tko-ctr-PairD;222.966800275288;20190927_3_001;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_001-tko-ctr-PairD;248.755854012906;20190927_3_001;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_001-tko-ctr-PairD;106.369411406146;20190927_3_001;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_001-tko-ctr-PairD;340.31256468723;20190927_3_001;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_002-tko-ctr-PairD;636.305784460655;20190927_3_002;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_003-tko-ctr-PairD;297.811235922707;20190927_3_003;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_003-tko-ctr-PairD;473.821416390406;20190927_3_003;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_003-tko-ctr-PairD;624.507309705851;20190927_3_003;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_004-tko-ctr-PairD;452.819382930987;20190927_3_004;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_004-tko-ctr-PairD;440.887043961376;20190927_3_004;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_004-tko-ctr-PairD;281.17163171451;20190927_3_004;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_005-tko-ctr-PairD;380.361200150278;20190927_3_005;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_005-tko-ctr-PairD;283.43132253456;20190927_3_005;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_005-tko-ctr-PairD;252.125587424521;20190927_3_005;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_005-tko-ctr-PairD;437.11742079296;20190927_3_005;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_005-tko-ctr-PairD;349.322775138825;20190927_3_005;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_005-tko-ctr-PairD;550.943023647491;20190927_3_005;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_005-tko-ctr-PairD;384.844569598806;20190927_3_005;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_005-tko-ctr-PairD;535.044919801889;20190927_3_005;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_005-tko-ctr-PairD;619.054341819036;20190927_3_005;TKO;Control;5;20190927;20190927_3;TKO Control
20190927_3_005-tko-ctr-PairD;402.42410941047;20190927_3_005;TKO;Control;5;20190927;20190927_3;TKO Control
